"id","zip_code","municipality","county","lat","lng","locality","locations"
35518,11343,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,400020,500001,600012}"
35519,11344,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35520,11345,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35521,11346,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,400020,500001,600012}"
35522,11347,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,400020,500004,500001,600064,600012}"
35523,11348,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35524,11349,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35525,11350,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35526,11351,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35527,11352,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35528,11353,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35529,11354,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35530,11355,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35531,11356,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500004,600012}"
35532,11357,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35533,11358,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35534,11359,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35535,11360,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35536,11361,"Stockholm","Stockholm",0,0,"STOCKHOLM","{300000,440016,500001,600012}"
35537,11362,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35538,11363,"Stockholm","Stockholm",,,"STOCKHOLM","{300000,440016,400020,500001,600012}"
35539,11364,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,600012}"
35540,11365,"Stockholm","Stockholm",,,"STOCKHOLM","{300000,440016,500001,600012}"
35541,11367,"","",,,"STOCKHOLM","{300000,440016,400020,500001,600012}"
35542,11368,"","",,,"STOCKHOLM","{300000,440016,400020,500001,600012}"
35543,11415,"Stockholm","Stockholm",,,"STOCKHOLM","{300000,440016,500004,600064}"
35544,11416,"Stockholm","Stockholm",,,"STOCKHOLM","{300000,440016,500004,600064}"
35545,11417,"Stockholm","Stockholm",,,"STOCKHOLM","{300000,400014,440016,500004,600064}"
35546,11418,"Stockholm","Stockholm",,,"STOCKHOLM","{300000,400014,440016,400020,500004,600064}"
35547,11419,"Stockholm","Stockholm",0,0,"STOCKHOLM","{300000,440016,400020,500004,500001,600064,600012}"
35548,11420,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500004,600012}"
35549,11421,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600064}"
35550,11422,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500004,600064,600012}"
35551,11423,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600064}"
35552,11424,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500004}"
35553,11425,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500004}"
35554,11426,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35555,11427,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500004,600064,600021}"
35556,11428,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600064,600021}"
35557,11429,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500004}"
35558,11430,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500004}"
35559,11431,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35560,11432,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500004}"
35561,11433,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600064,600021}"
35562,11434,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500004}"
35563,11435,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500004}"
35564,11436,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35565,11437,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35566,11438,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35567,11439,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35568,11440,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35569,11441,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35570,11442,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35571,11443,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35572,11444,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35573,11445,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35574,11446,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500004}"
35575,11447,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35576,11448,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35577,11449,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35578,11450,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35579,11451,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500001,500004}"
35580,11452,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35581,11453,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35582,11454,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35583,11455,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35584,11456,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35585,11457,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35586,11458,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35587,11459,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35588,11460,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35589,11520,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35590,11521,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,400018,440016,500000,500001,500004,600105,600106,600021}"
35591,11522,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35592,11523,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35593,11524,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004}"
35594,11525,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,400018,440016,400021,500004,600106,600021}"
