"id","created","modified","rating","text","venueid","venuename","agentid","agentname","invite_id"
316184,"2018-03-04 10:40:29.976","2018-03-04 10:40:35.766",4,"Jeg er tilfreds, hun er tålmodig og kommunikerende.",3549995,"HusmanHagberg Malmö",5098,"Agnes Andersson",1730537
316192,"2018-03-04 11:20:16.98","2018-03-04 11:20:35.281",5,"Enkelt och tryggt Blev glad av champagnen ",574903,"Mäklarcity ",,,1730089
316277,"2018-03-04 15:06:05.975","2018-03-04 15:06:34.987",5,"Väldigt personlig och hjälpsam! Hon har väglett och gått igenom alla viktiga punkter och gjort det ”enkelt” för någon som är helt ny på bostadsmarknaden.",1711469,"Svenska Mäklarhuset Bromma",1950,"Noomi Unéus ",1734314
316269,"2018-03-04 14:54:43.205","2018-03-04 14:54:49.368",5,"Jag tycker bemötandet var bra under hela processen.",574903,"Mäklarcity ",,,1729972
316322,"2018-03-04 17:04:33.678","2018-03-04 17:04:35.261",5,"Victor är mycket professionell, trevlig och lyhörd för önskemål. Han hjälpte mig med en fantastisk försäljning som jag är supernöjd med! Han var ett tryggt stöd under hela säljprocessen, och var hela tiden tydlig och lugn. Victor är även grym på att ge tips inför fotografering och visning. Otroligt kompetent mäklare, rekommenderar honom varmt! ",1752480,"HusmanHagberg Vasastan",1696,"Victor Sjölund",1713150
316327,"2018-03-04 17:13:24.689","2018-03-04 17:13:34.426",5,"Jonathan gav ett väldigt seriöst och proffsigt intryck till mig som köpare. Han fanns där för att diskutera situationen och ge svar på mina frågor, men var aldrig på något sätt pushig. Känner mig nöjd med Jonathans support efter att ha hanterat ett av de stora besluten här i livet.",3549444,"Svenska Mäklarhuset Södermalm",4843,"Jonathan Razai ",1726676
316329,"2018-03-04 17:20:37.254","2018-03-04 17:20:50.209",5,"Mycket kunnig, erfaren och trevlig mäklare som jag kände mig trygg med i försäljningen! Han är bra på att återkoppla, ger tydliga svar och är hela tiden positiv. Han är mycket professionell både mot mig som säljare och mot köpare. Finns inget att klaga på, han är en grym mäklare som jag gärna rekommenderar vidare.",1752480,"HusmanHagberg Vasastan",1696,"Victor Sjölund",1713148
316336,"2018-03-04 17:40:36.977","2018-03-04 17:40:49.368",5,"Mycket bra!
Tryckt och förstående bemötande.
Samt kunnig och hjälpsam vid försäljningen av bostaden.",574903,"Mäklarcity ",,,1730014
316345,"2018-03-04 18:11:40.185","2018-03-04 18:11:49.152",5,"Vi var mycket nöjda med Victor. Han var saklig o metodisk o gav oss inga falska förväntningar. Trots svårt läge precis före 1mars , o höga lån o avgift i jår förening, lyckades han sälja vår lgh till ett bra pris. Och på kort tid. Vi fick bra rapporter löpande under försäljningsperioden. Victor är lätt och trevlig att ha att göra med. Vi kan varmt rekommendera honom!",1752480,"HusmanHagberg Vasastan",1696,"Victor Sjölund",1713145
316361,"2018-03-04 19:14:35.094","2018-03-04 19:14:49.731",5,"Vi är super nöjda. Erika har haft ett stort engagemang och fokus när det gäller vårt hus. Vi har också fått bra vägledning och nyttiga tips inför försäljningen. En mycket seriös och proffsig mäklare.",3549966,"HusmanHagberg Järfälla",4929,"Erika Fernström",1704741
316375,"2018-03-04 20:29:10.286","2018-03-04 20:29:35.001",5,"Hej, jag tyckte hon var väldigt klar med sitt uppdrag,
snabb med svar på budgivningen, och hjälp när man ställde frågor om lägenheten.
Mycket bra.  ",3550079,"SkandiaMäklarna Haninge/Västerhaninge",1152,"Johanna Åström",1706427
